"","date","Composite.index","Indicator.3.days","Indicator.7.days","Indicator.21.days"
"1",2006-02-13,-1.74253119926614,-0.00679043606920055,-0.0116290323065406,NA
"2",2006-02-14,-1.73477299568654,-0.390450913831479,-0.00225925181889845,-0.0366031182488089
"3",2006-02-15,-1.71988281123781,-0.0962761032915128,-0.0217270726622455,-0.0144765133106435
"4",2006-02-16,-1.75297984115735,0.118817590217221,0.0217066907929563,0.0498314268859976
"5",2006-02-17,-1.7567139839864,-0.0093646601636166,-0.00815431555176347,-0.00213960665440093
"6",2006-02-20,-1.75656322666721,-0.0804980244563177,-0.0341682440681542,-0.00353778940877619
"7",2006-02-21,-1.73234928186272,0.0308180037213803,-0.0677971525181946,0.0197741261689124
"8",2006-02-22,-1.73720830622723,-0.00660398882639109,-0.0164313142782869,-0.0106931952693957
"9",2006-02-23,-1.73185062303773,-0.0574849985578039,0.0119398558132002,-0.0626956758267613
"10",2006-02-24,-1.7225500561157,-0.0486054677065587,0.0136691790305809,0.00304552264317868
"11",2006-02-27,-1.72217896117616,0.000314257514907248,-0.0531065282690076,-0.0370131389700317
"12",2006-02-28,-1.72004516527385,-0.0388790601897764,0.00192295097562721,0.004308241324464
"13",2006-03-01,-1.7112780473274,-0.0130824578873527,-0.00869090745670306,0.00292336307726777
"14",2006-03-02,-1.73553837899933,0.402191592912471,0.0947082752423332,0.0879573064563958
"15",2006-03-03,-1.72669008403485,0.0223339670215494,0.00700979519937227,0.0028290220263683
"16",2006-03-06,-1.73173465586912,-0.145704473693813,-0.0124333322254129,-0.00121433865518354
"17",2006-03-07,-1.76539992491483,-0.103516394870391,0.0246612779218349,-0.00845078105952523
"18",2006-03-08,-1.77646319279964,-0.172782385426551,-0.000734531212459338,-0.00498435218925233
"19",2006-03-09,-1.7825050822839,0.131804610326723,0.00204837786356082,-0.0210150738384513
"20",2006-03-10,-1.7819484398746,-0.145118409387586,-0.0246898909306447,-0.0227301457638006
"21",2006-03-13,-1.76568984283634,-0.0326085691343074,-0.0701265650025311,-0.0551592772605803
"22",2006-03-14,-1.76642043599854,-0.0444633154473863,-0.0222726796247553,-0.00471584304438096
"23",2006-03-15,-1.74813241350971,0.0337996326018861,0.0139325754952406,0.00947159961029724
"24",2006-03-16,-1.74885140995506,0.00855718021277589,-0.0534459647844769,-0.00573787109580545
"25",2006-03-17,-1.75433665703002,-0.0102881924523239,-0.000444481534113736,-0.045124050346184
"26",2006-03-20,-1.73234928186272,0.0763876338896141,0.00452046343292116,0.0181896803140414
"27",2006-03-21,-1.73005313192437,0.00187287095254544,-0.00191158416390851,-0.00644059097494918
"28",2006-03-22,-1.72273560358546,-0.0834152137492184,0.000623606808443525,-0.0313829134323065
"29",2006-03-23,-1.71606749139074,-0.0373793891237389,-0.00219575445688241,-0.00151913281963013
"30",2006-03-24,-1.7250665436744,0.0563397452235933,0.0062219575595411,-0.0104283146264835
"31",2006-03-27,-1.72365174421743,0.020830783845287,0.00246111071666635,-0.0044884569216965
"32",2006-03-28,-1.7203234864785,-0.0288441977749797,-0.00683811714651337,-0.00274677598199271
"33",2006-03-29,-1.71246091244716,-0.0325493213618175,-0.00659510255114283,0.00368534848838824
"34",2006-03-30,-1.72504335024068,0.0259635038883291,0.00784153224997975,-0.00316163470582453
"35",2006-03-31,-1.72089172560466,0.150944694849826,0.0246820517501487,-0.0777575874532502
"36",2006-04-03,-1.69634147601122,0.172192198208321,0.0210078278517528,0.00971108073950648
"37",2006-04-04,-1.68436206749444,-0.0845062584256096,0.0222342676403257,0.0321545748486468
"38",2006-04-05,-1.67234786882708,-0.127583970039046,0.00487753810450626,-0.0628601679155107
"39",2006-04-06,-1.67283493093521,0.0819889915970152,0.0151574474477139,0.00665588209110798
"40",2006-04-07,-1.66910078810617,-0.111118891903769,0.00157410744356278,-0.00525407083477618
"41",2006-04-10,-1.65040688052722,0.105515549090589,-0.00472467408483732,0.0171688617632702
"42",2006-04-11,-1.6467539147162,0.03945397736355,-0.00671582593077815,0.0274786453258003
"43",2006-04-12,-1.64918922525688,0.0798133156629044,0.0285314813326266,0.0275512153649551
"44",2006-04-13,-1.68142809812876,0.13533596080765,0.0485551000731279,0.0657339414660242
"45",2006-04-14,-1.64987343155165,0.724397624060573,0.112658822700712,0.0907754429768901
"46",2006-04-17,-1.62775849249889,0.0817556653177254,0.0401428754830517,0.0240061689522641
"47",2006-04-18,-1.62022062653963,-0.630922963124983,0.00221966395739465,-0.00715419635996787
"48",2006-04-19,-1.60678003169844,-0.304358097786877,0.0193521929310333,0.0358108953213747
"49",2006-04-20,-1.61930448590766,-0.103813549935508,-0.0188806662242091,0.0269416270360575
"50",2006-04-21,-1.58348222752593,0.190013103590859,-0.00981935748907798,0.0128751344466369
"51",2006-04-24,-1.5915999293282,0.252491253985376,0.0660599901203188,0.094252757353037
"52",2006-04-25,-1.60321983962231,0.113782598458698,-0.0949387471489108,0.00356197942182663
"53",2006-04-26,-1.58268205406256,0.660239616075436,0.0613486426423241,0.0706844276370045
"54",2006-04-27,-1.58355180782709,-0.634412320983655,0.00383492709856061,-0.00497951418664153
"55",2006-04-28,-1.55631111992204,-0.302837812160823,0.00521031131655405,-0.0048210696011554
"56",2006-05-08,-1.49034899442015,0.176291899743906,0.0648014096917132,0.090669006919464
"57",2006-05-09,-1.45085057679367,7.55867200580176e-05,0.0606431163976993,0.0884786012376546
"58",2006-05-10,-1.43400054719553,0.0489423248872613,-0.153595807167992,-0.0249399034560497
"59",2006-05-11,-1.44363741890651,0.202094304663222,0.0385221249155389,0.0244355416839274
